,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
0,-5.289449,3.7652626,3.9793718,4.1131096,3.7462611,3.6137092,3.8319998,3.8016255,3.882714,3.890268,3.6496162,4.1619077,3.6788247,3.7117162,3.8996596,3.9432123,3.884934,3.709093,3.5580323,3.4611378,3.838443,3.9498296,3.5742145,3.7761745,3.865727,4.080064,-0.17828964,-2.6227345,2.8913178,-2.8089306,0.5772623,-1.5901318,-1.2697837,-0.7206694,-0.023914156,1.5581702,-0.8092169,-0.45971465,1.2196745,-0.5551633,-0.2906906,-0.021032091,1.8158857,-1.4400148,1.4642621,1.5526559,-0.28938684,-1.3833898,0.2221251,-0.057578094,-0.20640622
1,-4.681837,3.832226,4.10895,4.2917004,4.010278,3.690531,4.3490305,3.9578488,3.9262955,3.6517649,3.7921538,3.95927,3.648578,4.0601635,3.803168,3.8965278,3.4833217,3.7189538,3.9761002,4.0764093,3.6824043,4.127499,3.7106915,3.6349719,3.9486747,3.5667043,0.21902475,-1.4496602,1.8891733,-1.8858548,0.29083163,-0.70952076,-0.77145493,-0.86695915,-0.06610639,0.035257142,-0.27106747,-1.2262677,0.73970807,-0.1274001,-0.19303371,-1.0255923,0.95689905,-0.4930379,0.97296333,2.4042335,-0.054577574,-0.8262953,-0.6708697,-0.38922167,0.12072842
2,-4.879245,3.493092,3.8355231,4.273237,3.7984643,4.003611,3.4774086,3.6246722,3.778395,3.330849,3.999185,4.1562433,3.8718014,4.016862,3.749435,3.5815117,3.7138793,3.8213122,3.8762891,4.0154777,4.032225,3.8685112,3.753614,3.6697733,4.0283937,3.6941118,-0.34078494,-2.6488183,1.8495754,-0.74814373,1.1842345,-1.2386776,-0.47172207,-0.9296189,-0.3741957,0.35096705,-0.12420928,-0.68912554,-0.5508614,0.19953845,-0.28949672,-1.1870191,1.1950773,-0.32017845,0.27694643,0.7453295,-0.18128707,-0.799642,0.28860018,0.068691306,0.24715455
3,-4.7425985,3.8287234,3.8430896,3.806396,3.9280438,4.02503,3.735353,3.8786669,3.7513065,4.190754,4.185428,3.8979921,3.7463572,4.084645,3.883826,3.7316039,3.917295,3.8509872,3.966709,4.514022,3.8274899,4.366018,3.7039554,3.7514322,4.0315,4.138744,-1.926788,-1.661741,1.7422758,-0.9728133,1.2925059,-1.4246885,-0.8974949,-0.5129979,0.07563988,0.6227713,-0.8678088,-1.0172676,0.73790884,0.17024654,-0.89141464,-1.6222197,0.6026921,-0.6368823,0.017576512,0.56243014,0.19843224,-0.039104454,-1.251989,0.2469097,0.047448523
4,-4.7095613,4.05192,4.03221,4.025811,4.099769,4.041473,3.96023,3.6673305,3.8256798,3.7395096,4.303961,3.7638342,3.6140215,3.8223135,3.3716543,3.8137798,3.7520933,3.8402014,3.7631469,3.6556003,4.2190437,3.6075585,3.7331264,3.9331799,3.7298794,3.6007102,-1.0708882,-1.6763004,2.2820897,-1.3214103,1.0229197,-0.9629869,-0.44830713,-0.69092745,-0.36683723,0.3399113,-0.45050624,-0.6469626,1.7719867,-0.49939778,-0.51823086,-2.2106757,0.9265331,-1.2287209,1.7326816,0.99348146,0.34387407,-0.35682344,-0.60178125,0.0956105,0.45591858
5,-5.0013137,3.8848934,4.000821,4.248961,4.0847583,3.746449,3.682661,4.0283046,4.103162,3.9551554,3.9656281,3.695041,3.921734,3.9246404,3.9753816,3.5794833,3.6548855,4.1893806,3.5988069,3.8795571,4.0914283,3.6093042,3.9104118,4.019608,4.109845,3.4934893,-0.045864053,-1.9565845,3.1091213,-1.3332739,0.7102379,-1.4073119,-1.1350927,-0.36359078,-0.18441027,0.7126517,-1.0772419,-1.356053,2.1410103,-0.011077056,-0.46327952,-1.076149,0.44810137,-2.030545,1.2697711,0.7475844,1.5693256,0.18842724,-0.5850863,0.11267936,0.46710637
6,-4.811776,4.0086274,3.780659,3.7567432,3.8743422,4.234324,3.9280322,3.9026093,4.012889,4.2646093,3.7846935,3.781708,3.7502565,4.2532854,3.4739919,3.5355697,4.0804067,3.903339,3.801523,4.0261087,4.140818,3.8519492,4.0785117,4.057084,3.7956543,3.7893498,0.016863476,-2.656452,3.2229986,-2.2103362,0.53403234,-0.7928927,-1.1678389,-0.19640873,0.12201703,0.8982054,0.32225043,-0.73191494,0.3266251,-0.5022404,-0.6880977,-0.8970764,0.6854599,-1.0341932,0.1561713,0.6324037,0.88936377,0.14373718,0.32061252,-0.37187803,-0.2591895
7,-4.802149,4.2229896,3.9511976,3.668901,4.022327,3.852347,3.6571593,3.7732713,3.810471,3.5745795,3.5447693,4.0612874,3.932517,3.8119361,4.1123333,3.468329,3.631826,3.862661,3.5442746,3.5025575,3.814702,4.0715303,3.9195764,3.59111,3.8391912,3.779769,-0.36724827,-2.0841675,2.030689,-1.102691,1.8230709,-1.4185004,-0.8448035,-0.8172589,0.16808507,0.80729085,-0.42085117,-0.62739223,0.5770847,-0.18419747,-0.5021354,-1.3210636,0.58558875,-1.4211494,1.3078735,1.3748904,0.022553492,0.047031283,0.3599939,0.09737824,0.013861214
8,-4.714475,3.6416578,4.557992,4.0706167,3.8680942,4.0491943,3.5785718,3.7806125,4.038055,3.791186,3.8310003,3.9797888,3.6536167,3.8592904,3.7484937,3.971207,3.8015213,4.022597,3.9317336,4.057081,3.630683,3.613372,3.872957,4.151487,3.9557261,3.9212692,-0.47256926,-0.97930837,2.0914164,-1.8649141,1.0515926,-1.5143951,-0.61516255,-0.5780185,0.14807452,0.8031368,-2.0315487,-0.83137316,0.9862152,-0.5395095,-0.4590011,-0.06641708,0.876148,-0.52566296,0.7269367,1.6978457,-0.67619216,-0.84171385,-0.27314427,-0.038268734,-0.025109079
9,-4.8408775,3.567363,4.288952,4.1271033,3.96992,3.9535263,4.102901,3.8077161,3.7038908,3.5144916,4.304667,3.546397,3.9285858,3.960798,3.8020992,3.9000506,3.8222196,3.9707363,4.039753,3.743152,4.0937743,3.8619728,4.0566583,3.7773798,3.890554,3.9962192,-1.4591552,-1.3684902,0.9342336,-1.2780857,2.8147137,-0.9641164,-0.4357857,-0.25675035,0.5491417,0.22410995,-0.109145425,-0.5103038,0.42399013,0.10938819,-0.35208124,-1.1864028,0.5575412,-0.9236806,0.40512645,0.5389224,0.81589705,-0.1687649,-0.8213374,-0.11480112,-0.052274015
