,0,1,2,3,4
0,-25.228554,60.37427,1.1418958,-0.6186896,2.8545842
1,2.6945915,38.175785,0.8652731,-0.3824039,2.8703842
2,-22.654009,63.04546,1.0944198,-0.61756265,2.842955
3,-12.879838,55.685104,1.0057931,-0.5464012,2.9270544
4,-5.818501,46.90934,0.9027193,-0.414076,2.8348126
5,-4.118344,42.362347,0.9024856,-0.38884777,2.9110446
6,-15.2373,54.861202,0.99181885,-0.50454885,2.9060144
7,-8.00764,44.340725,0.88727504,-0.38834643,2.895778
8,-16.166416,59.56531,1.0291091,-0.56907517,2.8455684
9,-10.946422,47.466,0.96902674,-0.46373454,2.8907087
10,-30.3439,69.550835,1.1802534,-0.6945258,2.8967357
11,-20.401073,54.828346,1.1111623,-0.5861441,2.914153
12,-15.424673,61.046463,1.0290082,-0.6024667,2.8954186
13,-19.40866,64.774376,1.0532557,-0.6212049,2.877111
14,-10.790278,49.16934,0.99067855,-0.47194242,2.9453638
15,-9.055579,51.41547,0.9963925,-0.5574067,2.9309833
16,-25.20044,57.1802,1.0875071,-0.5337447,2.8643715
17,-30.584316,82.191154,1.1633812,-0.78638333,2.9209583
18,-22.992897,71.078766,1.0999826,-0.69863284,2.8714142
19,-22.68437,61.613758,1.1121552,-0.6276847,2.9083583
20,10.845683,38.491776,0.7061302,-0.30689374,2.8705628
21,-18.37726,61.026337,1.0427963,-0.5747984,2.8256586
22,-3.3596292,50.494583,0.8713625,-0.44949144,2.8749955
23,-7.114766,43.859093,0.94517666,-0.4215232,2.8647366
24,-6.4739885,49.721565,0.9158994,-0.45814234,2.8402932
25,-3.5943,36.317375,0.89266014,-0.3302364,2.8264792
26,-10.521478,44.27803,0.964379,-0.4251528,2.9012015
27,0.627798,35.76371,0.85440946,-0.332693,2.8468983
28,-13.120433,68.83602,0.97669923,-0.63942826,2.9124956
29,-54.526855,87.221054,1.3704621,-0.82178235,2.9641764
30,-23.236658,63.167244,1.0865991,-0.6140918,2.8854234
31,5.561107,35.89265,0.7927403,-0.3147971,2.8767853
32,-7.6076612,52.439835,0.9321674,-0.4950312,2.9102314
33,-36.003464,88.75906,1.2137938,-0.84679,2.84626
34,-14.570745,45.50233,0.98581225,-0.41017556,2.8605103
35,0.7976863,36.7601,0.8199805,-0.31974682,2.8643754
36,-23.47349,59.165276,1.0992912,-0.58561504,2.8802366
37,-2.1940634,42.50631,0.87040627,-0.3852514,2.896845
38,-33.25399,72.409775,1.1742475,-0.6950845,2.9295392
39,2.6639993,54.879276,0.815243,-0.500528,2.939009
40,1.0166901,35.25794,0.8169611,-0.29194024,2.891011
41,-6.2383265,50.241936,0.90641284,-0.4592791,2.8855195
42,-30.28897,55.935787,1.1873816,-0.56839305,2.9079661
43,-3.4461732,37.400166,0.8608523,-0.34603754,2.9730947
44,-21.00416,66.20253,1.0287635,-0.60595167,2.8827941
45,-14.600692,53.003925,1.0042627,-0.5028055,2.9082701
46,1.5514703,38.26434,0.8676775,-0.37844795,2.891479
47,-26.385822,74.793564,1.130554,-0.73714876,2.903631
48,3.7989917,37.2455,0.8272138,-0.35293528,2.9070375
49,4.3298845,35.32574,0.7786799,-0.30007595,2.823184
50,14.616387,26.689434,0.7000946,-0.2401145,2.980466
51,-9.120862,41.59256,0.9400124,-0.4019437,2.8935359
52,2.6627598,40.772133,0.8109209,-0.36911476,2.8431466
53,-15.506415,60.463448,1.011887,-0.5835355,2.8131976
54,8.411538,32.101738,0.7505786,-0.2659939,2.912007
55,-43.29173,74.57642,1.2674361,-0.69314337,2.8603485
56,-8.173016,44.8557,0.93177867,-0.4344641,2.897556
57,-25.587727,61.098587,1.0969772,-0.5862517,2.9008026
58,-20.489729,62.372475,1.0666625,-0.60439765,2.8694408
59,-12.620409,60.268906,0.97755444,-0.57830316,2.8647587
60,-11.601356,61.305267,0.95614165,-0.55383384,2.8544452
61,-9.263403,42.785114,0.9559062,-0.4146283,2.8559551
62,-25.364986,59.781868,1.1396135,-0.5810453,2.9158957
63,-2.764651,35.31026,0.8786732,-0.32462168,2.8060038
