,0,1,2
0,0.5245213,0.36992413,-0.9841705
1,0.45666462,0.44284752,-0.98968786
2,0.48136678,0.4011621,-0.94310427
3,0.5876228,0.27220926,-0.9236291
4,0.57304084,0.3055142,-0.9941556
5,0.5772168,0.2809474,-0.98364824
6,0.5101622,0.40156987,-0.95991415
7,0.5321181,0.40188524,-1.0248473
8,0.5508558,0.36232388,-0.9362894
9,0.5310282,0.4058409,-1.0460833
10,0.64280313,0.29329053,-0.95023
11,0.49375853,0.3783705,-1.0325186
12,0.5630352,0.31574374,-0.9907454
13,0.5252048,0.40120077,-0.91943794
14,0.51570314,0.38136867,-0.93395185
15,0.6268934,0.25304797,-0.84956956
16,0.5157938,0.34195834,-0.91180193
17,0.5384088,0.38401058,-1.0017575
18,0.5310559,0.40838346,-1.0244153
19,0.5178684,0.3431044,-0.99647754
20,0.48153383,0.4291649,-0.91245514
21,0.5819506,0.36396128,-0.93549544
22,0.54476386,0.4089402,-0.9492416
23,0.5819759,0.29483008,-0.97079575
24,0.60053915,0.27104038,-1.0217934
25,0.51029724,0.38290873,-0.93285996
26,0.4997886,0.42771327,-0.9490195
27,0.5249405,0.35910264,-0.9637114
28,0.5595337,0.31544578,-0.9482105
29,0.5339619,0.36342794,-0.97638303
30,0.5364522,0.39373234,-0.9818411
31,0.58258307,0.34772065,-0.9429117
32,0.5502393,0.33819798,-1.0331863
33,0.50575536,0.4667641,-1.0214083
34,0.57019365,0.31905583,-0.957272
35,0.53448474,0.37961292,-0.9553785
36,0.5276527,0.3702127,-0.89028746
37,0.6358092,0.29917836,-0.98150957
38,0.51004225,0.37405866,-0.87642145
39,0.58648634,0.3668928,-0.9997697
40,0.47579145,0.4137158,-0.9542065
41,0.5898896,0.35504797,-0.8464274
42,0.6177806,0.2939092,-0.96528524
43,0.5158719,0.33024237,-0.95116824
44,0.46355513,0.47483844,-0.99264926
45,0.5550403,0.33244723,-1.0208142
46,0.6312034,0.24173178,-0.93136066
47,0.5265268,0.48097005,-1.0039715
48,0.5220459,0.39331514,-1.0223778
49,0.5077742,0.37868872,-0.97028536
50,0.5625085,0.3299757,-0.97421795
51,0.5659368,0.3191983,-0.99835086
52,0.5615764,0.332253,-0.91669714
53,0.44942138,0.44356012,-0.94021773
54,0.55811125,0.33744097,-0.9524354
55,0.5916406,0.28494433,-0.8855749
56,0.55715805,0.31692418,-1.0047885
57,0.59985864,0.3183131,-0.9886498
58,0.6007479,0.30252793,-0.95532805
59,0.5626175,0.38657448,-0.8895696
60,0.51326066,0.34642115,-1.0170686
61,0.5462557,0.38794044,-1.0096327
62,0.47552642,0.4277107,-0.9812917
63,0.51760125,0.38944727,-0.990616
64,0.51173466,0.41072327,-0.897918
65,0.5798926,0.32899794,-0.9690834
66,0.555934,0.35008967,-1.0350869
67,0.48462525,0.4255078,-0.9807093
68,0.6071518,0.26579782,-0.9311212
69,0.55780214,0.3258879,-0.86776686
70,0.53682333,0.4164188,-1.0203987
71,0.52197915,0.39269084,-0.91523206
72,0.5553313,0.2902192,-0.9867125
73,0.55777425,0.29351234,-0.9568552
74,0.5413431,0.33520457,-0.9914637
75,0.5786001,0.34675592,-0.99268484
76,0.66778857,0.24652897,-1.0507853
77,0.50059897,0.45461223,-1.022105
78,0.63796234,0.23594163,-0.96002305
79,0.5301588,0.4405176,-0.912473
80,0.618657,0.27954924,-0.9357443
