,0,1,2,3,4,5,6,7
0,-713.5593,349.2055,201.15039,584.53375,-325.8053,131.21841,-382.94083,5.6218925
1,-811.8621,139.32298,531.26935,438.82758,-226.49207,139.8354,-402.9903,5.565302
2,-566.4618,37.543568,534.9488,270.1403,-124.20408,142.33109,-359.73315,5.7737517
3,-825.0932,359.9238,103.928276,195.50934,106.300514,115.019905,-267.80167,5.7278204
4,-1050.172,248.78612,350.8575,591.5877,-131.1725,91.344864,-288.7195,5.6912675
5,-638.9718,169.96907,277.1693,455.5849,-69.38323,96.91863,-348.76,5.3870406
6,-794.0945,201.44109,300.70084,237.28355,67.46336,145.0292,-346.50986,5.7819004
7,-889.31354,351.87207,225.16307,375.19672,-99.6537,122.19348,-391.78,5.570157
8,-637.33716,182.28668,249.75595,487.8643,-242.5744,190.69249,-361.08737,5.650463
9,-627.86725,130.47354,461.43576,333.32675,-107.96979,96.63431,-363.68832,5.6633854
10,-835.5243,166.93593,281.3673,423.99982,-0.109270856,130.22404,-294.76132,5.78122
11,-526.35455,49.061466,650.526,171.89244,-159.53256,137.56068,-455.2707,5.5887084
12,-578.9666,167.8404,441.0978,477.29416,-356.01755,184.3693,-364.00125,5.6821656
13,-865.7241,193.4229,304.65558,419.39047,-8.839018,128.88686,-292.25336,5.603715
14,-833.5857,234.10329,364.09274,268.93994,14.872698,96.00464,-325.9664,5.4836054
15,-1078.4454,456.89096,-123.38255,387.5386,258.24078,96.6948,-222.23744,5.618519
16,-539.62463,263.53058,161.6031,702.7616,-321.6021,128.22794,-330.45117,5.712647
17,-749.6432,-195.38347,551.905,346.45367,312.26395,106.91631,-337.0966,5.789833
18,-1044.3917,315.5978,128.85526,346.2497,156.05289,131.68239,-238.16046,5.5903683
19,-545.15717,163.24664,384.4542,395.1918,-279.51392,159.6669,-275.00748,5.631294
20,-641.87964,343.94727,299.54065,-50.339016,-5.633971,158.59435,-325.71387,5.537363
21,-686.99927,165.98906,491.50986,417.3895,-143.9935,112.360466,-420.9552,5.8444486
