,0,1,2,3
0,5.0860176,0.97518927,0.557355,-0.9905676
1,5.0090075,0.6434698,0.34582412,-1.6365044
2,5.044652,0.6225053,-0.5135571,0.43656954
3,4.9654307,0.90147334,1.2645637,0.77536863
4,5.0242157,0.27327028,-0.06409969,0.6404381
5,5.0366383,0.26884758,0.9476481,1.5925462
6,5.0774183,0.1737439,0.9143651,0.8747837
7,5.0151267,0.0070728133,-0.20949362,1.8283759
8,4.882549,0.4124794,0.16443159,0.6924024
9,5.0324955,0.3190853,0.3778417,-0.05825137
10,5.141435,0.32820728,-0.62946016,0.7239085
11,5.206501,-0.5540932,0.016934512,1.2731936
12,5.013914,-0.28748712,-0.29932097,2.418734
13,4.957746,0.20552617,0.18959948,1.7906197
14,5.2139072,0.81410843,0.9474985,0.10894451
15,4.9643474,0.9403025,0.2029843,0.52238387
16,5.1853952,0.5695137,0.92506015,0.47862276
17,5.1407356,1.2379491,0.20632875,-7.30579
18,5.0544434,0.42635387,0.9524113,0.7699035
19,5.133416,0.37980333,0.8974693,0.39000547
20,4.8999,-0.018386722,0.09534102,0.6880667
21,5.1086044,-0.058527704,0.50489736,1.4586551
22,5.2521577,0.56884193,1.8818688,0.024057928
23,5.082977,-0.3017916,0.17737892,4.0584226
24,5.1013546,0.34638107,0.08044035,-0.089005746
25,5.1516194,0.116751075,0.22882108,1.4019097
26,5.0204797,0.5223221,0.6178231,0.020687522
27,5.051991,0.32782152,-0.14373517,0.6424522
28,5.184819,-0.22491997,0.084343694,1.7160791
29,4.9734845,0.029118916,0.8378482,2.4913778
30,5.0525093,-0.15437265,0.5122056,5.6535635
31,5.028521,0.7303558,-0.29896563,-0.2202502
32,5.0440054,-0.3086,0.021325888,1.7763754
33,5.259404,-0.5130258,-0.058875285,1.2967578
34,4.900773,0.32953584,0.51184905,1.5439911
35,4.9749303,0.2267274,0.114327446,1.670579
36,4.9319615,0.7505517,-0.00800422,0.29976785
37,5.174531,0.5702656,0.31071162,-0.06539078
38,5.1073847,0.52780116,-0.5066829,0.34041938
39,5.0176096,1.2149671,0.44447345,-2.1063251
40,5.2390113,0.8914694,-0.18275122,-0.9651153
41,5.079976,-0.25041324,0.56493753,1.4355968
42,5.0919933,-0.30301774,0.33067438,2.3177154
43,4.828932,0.4614369,-0.4148064,-0.5240705
44,5.179736,0.055024095,0.19862713,1.6598644
45,5.0879016,0.29155862,0.58335537,1.2874393
46,4.840768,0.33370206,-0.44091743,0.70415705
47,5.235885,0.23768789,1.8015845,0.23645435
48,5.0715866,0.014859266,0.25428227,0.7655286
49,5.1061106,0.6141495,0.18250969,-0.6775722
50,5.292988,0.64845455,0.9272338,-0.17203067
51,5.0923467,-0.12799072,0.17238936,1.6047626
52,5.0974283,0.61540234,-0.090007484,0.47565964
53,5.0710726,0.51945543,0.36450025,-0.45695543
54,5.102415,0.534532,-0.17500807,0.5362646
55,4.7617,0.8898099,0.27810216,-1.4431974
56,4.98226,0.18650381,-0.58140814,1.5571783
57,4.8575516,0.75885385,-0.23860942,0.2321744
58,5.1894493,0.050383434,-0.24263692,0.7802002
59,5.143743,0.7097238,0.62182647,0.29036635
60,5.0963364,-0.69212466,-0.58036375,2.0437078
61,5.101121,0.5756797,0.105433,-0.14207911
62,4.9500074,0.8209385,-0.5182673,-0.40615413
63,4.996386,0.17532495,-0.22863439,0.5985383
64,4.9489713,-0.49732733,0.061963428,4.2885504
65,5.150465,0.47752586,-0.06011945,0.082893826
66,5.038362,0.79054904,0.4012357,-1.2194221
67,5.000019,0.54184353,1.5516342,1.1586938
68,5.2433457,0.08164859,0.5524351,0.7244449
69,5.048939,0.50563586,0.11921139,-0.69505626
70,5.2145977,0.5067074,1.0291551,-0.5350463
71,5.1998625,-0.17051819,0.10316696,1.7379853
72,4.9797397,-0.42080498,-0.5664771,1.4862463
73,5.314507,0.19509849,-0.38491938,1.0185326
74,5.0060644,0.31443766,-0.29288512,0.57125217
75,5.0604844,0.12390701,0.8937736,2.0765667
76,4.9416184,-0.09328882,0.58857095,2.598019
77,5.202563,-0.24011068,0.52224195,1.3779184
78,4.847462,0.365978,1.095887,1.6913805
79,4.978532,0.030217187,-0.80374825,0.80545074
80,5.101932,0.759668,1.0977609,0.94047
81,5.00736,-0.72623754,-0.1489019,4.793258
82,5.0111003,0.68544877,1.4789902,0.5330971
83,5.1445155,-0.95183384,0.024328666,2.628471
84,5.1279564,0.65381557,0.29712507,0.05353485
85,4.7670584,0.7382213,0.14312804,0.6184594
86,4.9299955,0.28849304,0.00913495,0.764483
87,5.0483027,0.35677955,0.30886212,1.11043
88,4.972772,0.25241616,-0.7842298,0.53612685
89,5.2438407,-0.16254425,0.012529177,1.4512088
90,4.939668,0.17117943,0.79115003,1.344098
91,5.008046,0.24097493,-0.2875124,1.120824
92,5.048435,0.46516666,0.7860279,0.5007317
93,5.0171685,0.5046948,1.4934843,1.8257927
94,5.110455,0.0024790808,-0.3732331,1.7026489
95,5.0223517,-0.74535066,-0.3972008,1.6616619
96,4.9287477,-0.20593862,-0.055595912,1.8371984
97,5.1971292,0.35180473,0.31566775,0.8810689
98,4.849751,-0.13830072,-0.1662637,1.1854426
99,4.932104,0.14836441,0.5758827,1.7024013
100,5.0768757,1.1897799,-0.12913698,-1.1818651
101,5.116934,0.8243845,-0.31335792,-0.48339283
102,5.234858,0.060404424,0.5014394,0.29405668
103,5.083688,0.75385654,-0.41917214,-1.5288947
104,5.095743,0.1842547,1.7213274,2.7871895
105,5.0922976,0.2175076,1.2820723,0.520656
106,5.0488424,0.16819976,-0.15973358,0.6073226
107,5.05992,-0.0045128632,-0.31444013,1.1551782
108,4.835604,0.3677574,0.17634314,0.90863454
109,4.9290566,0.46553805,0.5374681,1.8280679
110,5.063197,-0.5197864,1.0345968,2.5139503
111,5.0446467,0.98003453,-0.019376498,-2.0283797
112,5.1103196,0.44057307,0.68984,0.674919
113,5.0377483,0.3982557,-0.055836823,0.3361432
114,5.1145205,0.7708728,-0.28840703,-0.5628616
115,5.0227585,0.14485212,0.17080697,1.1953212
116,5.224689,0.3257938,0.43462282,1.9862283
117,5.083446,0.44979408,0.47194177,1.292489
118,5.00349,0.87893116,2.4287233,2.314972
119,5.3000274,0.90965384,1.8466482,-3.0714393
120,5.1161437,0.7533522,0.5622068,0.0043572863
121,5.138195,0.87594944,0.51847714,-0.674017
122,4.9583282,1.053636,-0.051953137,0.25528848
123,5.1416407,1.0362502,0.18225357,-0.52840835
124,5.147533,0.092536055,-0.2902348,0.25805828
125,5.306951,-0.34785575,-0.12453677,1.4170728
126,4.9420476,0.8962778,-0.027643481,-0.14783323
127,5.1382546,0.197507,0.8325483,2.8076086
128,5.1207657,0.24242477,0.87718225,1.4770516
129,5.038943,0.096904896,0.27338275,1.3516414
130,5.104693,-0.1467792,0.3609469,1.6194967
131,4.9876466,-0.61944,-0.049205635,3.4117165
132,5.0492115,0.47471946,-0.20297207,0.01946053
133,5.2504096,0.57532406,0.08288156,-0.22263129
134,4.9352064,0.43492922,0.07299061,1.3991445
135,4.9298368,-0.30431685,-0.6622324,1.3717535
136,4.936264,0.79957515,1.5968264,0.9430274
137,5.187756,0.377898,0.79970366,0.7224196
138,4.8816576,0.32811415,0.8429326,2.6023428
139,5.073709,0.20175922,0.14428002,2.0521598
140,5.0127068,0.45053717,0.121544875,-0.14402677
141,5.0178275,0.7147607,-0.09251698,-1.6767907
142,5.0831585,-0.0507784,0.4094735,0.95426226
143,5.1640406,-0.3190125,0.44923702,2.1916473
144,5.013898,0.26057926,0.26880834,3.0259926
145,4.81712,-0.13013211,-0.6246858,1.9726163
146,5.0161905,0.5055087,0.48469564,1.0187993
147,5.021937,0.25727555,-0.09319839,1.4288837
148,4.8099847,1.1778752,-0.30434123,-1.4668871
149,5.240464,0.39029023,1.0219793,1.7293354
150,5.171085,-0.24007821,0.2981742,2.5910487
151,5.2488594,0.2345546,1.1036123,4.3149276
152,4.972839,0.7373331,0.39850697,-0.05381615
153,5.057534,0.1878745,-0.60848016,0.7230155
154,5.181672,-0.046630677,0.29384893,1.4247674
155,5.0110765,0.8266107,0.7756005,0.33503905
156,5.1165943,0.22423251,1.106556,1.7985195
157,4.9465394,0.043260876,0.33478674,0.018480873
158,4.933209,0.83487046,1.1377848,4.574358
159,5.0983186,0.27614355,0.82518375,0.45393243
160,4.8289776,-0.4521606,-0.012756809,1.6054637
161,5.0740404,-0.21551229,-0.22781038,1.1002438
162,5.083556,0.38157305,0.4330127,0.2903566
163,4.958212,0.8903674,0.37028,-2.7074852
164,4.9753785,0.7303363,-0.06738013,-0.37476817
165,4.8390265,-0.4212741,0.17604914,2.859469
166,5.1470737,-0.21983488,-0.6021394,1.3824633
167,5.1502266,0.07794272,1.2598277,2.764611
