,0,1,2
0,1.5601158,0.43863472,0.90121245
1,1.785456,1.4425565,0.49462342
2,1.6906205,1.0691931,0.54423535
3,1.5842454,1.2185959,0.97742504
4,1.754695,0.9196126,0.6197596
5,2.1267278,0.7640587,0.87836504
6,1.9404165,1.2302685,0.7691986
7,1.9460535,0.70625126,0.9574295
8,1.8428162,0.9764298,0.93497247
9,2.0998557,0.5997571,0.08543454
10,1.6930181,1.3586694,0.85166705
11,1.7863027,0.3266118,0.08578496
12,1.980617,0.36042094,0.45006764
13,2.079796,0.66589975,0.61207247
14,1.7569386,0.36969373,0.29952547
15,1.6536415,1.3253026,0.43237954
16,1.506476,0.6858494,0.6439019
17,1.6650201,0.846199,0.7088408
18,1.9560091,0.38301316,0.69965947
19,1.8731072,0.6431182,0.58314663
20,1.677685,0.89932996,0.5943217
21,1.8055098,1.2178748,0.6973786
22,1.8246977,1.2127143,0.9986602
23,1.7687474,0.80062777,0.78766984
24,1.8147699,1.0373558,0.40804884
25,1.6117802,0.87546086,0.91397417
26,2.0199044,0.6110708,0.67303216
27,1.8005276,0.5484034,0.6772616
28,1.9992601,1.3230835,0.5090299
29,2.0211794,0.5834744,0.6238237
30,1.5896993,0.80955935,0.5683435
31,1.7532015,0.74065495,0.16476193
32,2.0007644,0.8715239,0.45710224
33,2.2137787,0.9906749,0.49097073
34,1.8288326,0.61835897,0.4387038
35,1.9938275,0.5829404,0.1899649
36,1.80377,0.7987108,0.917554
37,1.8752398,1.5193888,0.65875596
38,2.1235878,0.75980127,0.37514663
39,1.9634285,1.5918874,-0.100097604
40,1.8905236,1.0354149,0.092292584
41,2.1957836,0.72443694,0.2086261
42,1.9477773,0.75417924,0.56174976
43,1.7513492,0.28307715,0.29865432
44,1.5510333,1.324792,0.3805558
45,2.0615144,0.54307544,0.80186814
46,1.6777536,1.0720537,0.67120904
47,2.222633,0.34770933,0.32302365
48,1.8229468,1.0552499,0.20506157
49,1.9567653,0.31457463,0.6876167
50,2.1937125,0.9645687,0.3417393
51,1.7976565,1.3207473,0.6362233
52,1.6751182,1.3217477,0.6323069
53,1.8386673,0.6498458,0.4390329
54,1.7806752,0.82915163,0.81335235
55,1.4926018,1.355039,0.19489837
56,1.7217922,0.5925987,0.48504078
57,1.9263394,1.1538203,0.41253558
58,2.214853,0.6745326,0.640976
59,2.0716138,1.0424997,0.65895236
60,1.8880236,-0.007805192,0.76202327
61,2.1149516,0.6834082,0.3505123
62,1.7827091,1.2288045,0.57675815
63,2.0082405,0.7334797,0.48150206
64,2.1709592,0.2421381,0.81724477
65,2.2030828,0.6215404,0.39016834
66,1.9630622,0.29354498,0.788605
67,2.0760868,0.28733805,0.5541827
68,2.1559048,0.11466496,0.016342072
69,1.8118575,1.1200194,1.2915554
70,1.8240005,1.0359699,0.22693692
71,1.8525026,1.1743948,0.21774042
72,1.796527,0.49631202,0.43564576
73,1.9613863,0.5487601,0.2773974
74,2.206877,1.1032714,0.3988871
75,1.6118808,0.81327957,0.23832354
76,1.7198836,1.1969596,-0.10409022
77,1.5264469,0.9638808,0.7622417
78,2.129728,0.54014355,0.23087521
79,2.2719333,0.91586876,0.7856768
80,2.2587845,0.85091317,0.54696685
81,1.8646623,0.5843741,1.0695587
82,1.9950426,0.7368226,0.3238912
83,1.9860997,0.7873771,0.45154288
84,1.9754926,0.40527517,0.6715056
85,1.6585766,0.7481943,0.6408024
86,1.9882517,1.0723878,0.75206697
87,1.906271,0.8296649,0.6054025
88,1.9318509,1.0188378,0.70678484
89,1.8768404,0.64349145,0.43454736
90,1.8100828,0.64103734,0.44907057
91,1.8293607,0.5398953,0.5091859
92,2.1620872,1.4664522,0.836016
93,1.6725338,1.0308576,0.32920387
94,1.9711881,0.85770446,-0.0704625
95,1.96471,1.1051224,0.31815153
96,1.8708377,1.1311294,0.4471545
97,1.898146,0.5008245,0.75629497
98,1.9498259,1.0150244,0.2506043
99,1.4340378,0.46699435,0.50197715
100,1.7306905,1.2942456,0.44806597
101,1.8039036,0.49422643,0.7998383
102,1.8821454,0.77408165,0.37514132
103,1.8216951,0.31699973,0.22712971
104,1.7835855,1.3980781,0.3127605
105,1.7618546,0.99689907,0.842364
106,1.8662732,0.41725725,1.1378881
107,1.9407742,0.43280905,0.22274587
108,1.9292808,0.7972367,0.39547786
109,2.016259,0.59417874,0.14295451
110,2.174491,0.14805861,0.6032451
